cuisine,location,headline,menu_url,file_path
French, Garment District, Steak Frites Bistro,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/47957-SteakFritesBistro-menu.pdf,menu_urls/steak-frites-bistro.pdf
Mexican, Battery Park City, El Vez,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/38173-ElVez-menu.pdf,menu_urls/el-vez.pdf
Italian, West Village, Roey's,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/45428-Roey%27s-menu.pdf,menu_urls/roeys.pdf
American (Traditional), Times Square/Theatre District, Hard Rock Cafe,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/7681-HardRockCafe-menu.pdf,menu_urls/hard-rock-cafe.pdf
Turkish, Upper East Side, A La Turka,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/46105-ALaTurka-menu.pdf,menu_urls/a-la-turka.pdf
Mediterranean, Soho, Pera SoHo,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/38407-PeraSoHo-menu.pdf,menu_urls/pera-soho.pdf
Italian, West Village, Olio e Più,,
Italian, Upper East Side, Il Gradino,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/46409-IlGradino-menu.pdf,menu_urls/il-gradino.pdf
French, Midtown West, Le Rock,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48212-LeRock-menu.pdf,menu_urls/le-rock.pdf
Spanish, Hudson Yards, La Barra at Mercado Little Spain,,
Italian, Midtown East, Armani/Ristorante 5th Avenue,,
Mediterranean, Nomad, Il Fiorista,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/41659-IlFiorista-menu.pdf,menu_urls/il-fiorista.pdf
Mexican, Prospect Heights, Tiny's Cantina,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/45496-Tiny%27sCantina-menu.pdf,menu_urls/tinys-cantina.pdf
Spanish, Midtown West, Addictive NYC,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/46551-AddictiveNYC-menu.pdf,menu_urls/addictive-nyc.pdf
Steakhouse, Midtown East, Benny John's Bar and Grill,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48159-BennyJohn%27sBarandGrill-menu.pdf,menu_urls/benny-johns-bar-and-grill.pdf
Japanese / Sushi, East Village, SenYa,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/41037-SenYa-menu.pdf,menu_urls/senya.pdf
French, Midtown West, Benoit Restaurant & Wine Bar,,
Caribbean, East Harlem, The Good Good NYC,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48115-GoodGoodNYC-menu.pdf,menu_urls/the-good-good-nyc.pdf
Mexican, Noho, Casa Bond NoHo,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48554-CasaBondNoHo-menu.pdf,menu_urls/casa-bond-noho.pdf
American (Traditional), Lower East Side, Freemans,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/40761-Freemans-menu.pdf,menu_urls/freemans.pdf
Italian, Boerum Hill, Barbalu Bklyn,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/46592-BarbaluBklyn-menu.pdf,menu_urls/barbalu-bklyn.pdf
French, Midtown West, The Consulate Midtown,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48122-ConsulateMidtown-menu.pdf,menu_urls/the-consulate-midtown.pdf
American (New), Lower Manhattan, Manhatta,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/41404-Manhatta-menu.pdf,menu_urls/manhatta.pdf
Caribbean, Williamsburg, Kokomo,,
Japanese / Sushi, Lower East Side, Storage Room Sushi by Rabbit House,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48147-StorageRoomSushibyRabbitHouse-menu.pdf,menu_urls/storage-room-sushi-by-rabbit-house.pdf
Italian, Times Square/Theatre District, Sicily Osteria,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/46336-SicilyOsteria-menu.pdf,menu_urls/sicily-osteria.pdf
Asian Fusion, Greenwich Village, Calle Dão - Downtown,,
Japanese / Sushi, Soho, Sushidelic,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48789-Sushidelic-menu.pdf,menu_urls/sushidelic.pdf
Italian, West Village, Alaluna,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48972-Alaluna-menu.pdf,menu_urls/alaluna.pdf
American (Traditional), Forest Hills, Tropix Restaurant & Lounge,,
Italian, Midtown East, Rosemary's Midtown,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/49024-Rosemary%27sMidtown-menu.pdf,menu_urls/rosemarys-midtown.pdf
American (New), Battery Park City, Del Frisco's Grille - Brookfield Place,,
Italian, West Village, Ambra,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48517-Ambra-menu.pdf,menu_urls/ambra.pdf
Steakhouse, Bay Ridge, Hunter's Steak & Ale House,,
Japanese / Sushi, Williamsburg, Nami Nori - Williamsburg,,
Italian, Upper East Side, La Voglia,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48518-LaVoglia-menu.pdf,menu_urls/la-voglia.pdf
Asian Fusion, Noho, Kyu NYC,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/46604-KyuNYC-menu.pdf,menu_urls/kyu-nyc.pdf
American (New), Nomad, NoMad Diner,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/49062-NoMadDiner-menu.pdf,menu_urls/nomad-diner.pdf
Italian, Chelsea, Chelsea Ristorante,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/30229-ChelseaRistorante-menu.pdf,menu_urls/chelsea-ristorante.pdf
Asian Fusion, Washington Heights, Budda Kitchen & Bar,,
Thai, Upper East Side, Tha Phraya,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/49201-ThaPhraya-menu.pdf,menu_urls/tha-phraya.pdf
Indian, Union Square, Kanyakumari,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/49014-Kanyakumari-menu.pdf,menu_urls/kanyakumari.pdf
Seafood, Midtown West, Oceana,,
Argentinian, Times Square/Theatre District, Palermo Argentinian Bistro,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48474-PalermoArgentinianBistro-menu.pdf,menu_urls/palermo-argentinian-bistro.pdf
African, Harlem, Safari,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/43863-Safari-menu.pdf,menu_urls/safari.pdf
American (New), Williamsburg, Bar Blondeau,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/46010-BarBlondeau-menu.pdf,menu_urls/bar-blondeau.pdf
Italian, West Village, Travelers Poets & Friends,,
Spanish, East Elmhurst, Addictive Wine & Tapas Bar,,
Cajun/Creole, Bayside, Bourbon Street Cafe,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/28819-BourbonStreetCafe-menu.pdf,menu_urls/bourbon-street-cafe.pdf
Brazilian, Downtown Brooklyn, Fogo de Chão Brazilian Steakhouse - Brooklyn,,
Italian, Williamsburg, Sungold,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/49063-Sungold-menu.pdf,menu_urls/sungold.pdf
Thai, Greenpoint, Chinta Thai,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/49059-ChintaThai-menu.pdf,menu_urls/chinta-thai.pdf
Italian, Bayside, Papazzio,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/45506-Papazzio-menu.pdf,menu_urls/papazzio.pdf
French, East Village, Cathédrale,,
Indian, Cobble Hill, Indian Table,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/45413-IndianTable-menu.pdf,menu_urls/indian-table.pdf
French, Little Neck, La Baraka,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/46557-LaBaraka-menu.pdf,menu_urls/la-baraka.pdf
Japanese / Sushi, East Village, Sushi Lab East Village,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48478-SushiLabEastVillage-menu.pdf,menu_urls/sushi-lab-east-village.pdf
French, West Village, Le B.,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48395-LeB.-menu.pdf,menu_urls/le-b.pdf
Italian, Upper East Side, Masseria East,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/47936-MasseriaEast-menu.pdf,menu_urls/masseria-east.pdf
Colombian, Upper East Side, María Mulata,,
Middle Eastern, East Village, Balade,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48315-Balade-menu.pdf,menu_urls/balade.pdf
Brazilian, Elmhurst, Fogo de Chão Brazilian Steakhouse - Elmhurst,,
Mediterranean, Midtown West, Acadia,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48687-Acadia-menu.pdf,menu_urls/acadia.pdf
Jamaican, Woodstock, Flava of the Bronx,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/46594-FlavaoftheBronx-menu.pdf,menu_urls/flava-of-the-bronx.pdf
Brazilian, East Harlem, Bar Goyana,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/45945-BarGoyana-menu.pdf,menu_urls/bar-goyana.pdf
French, Williamsburg, Le Crocodile,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/42478-LeCrocodile-menu.pdf,menu_urls/le-crocodile.pdf
American (New), Midtown East, Monterey,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48139-Monterey-menu.pdf,menu_urls/monterey.pdf
American (New), Midtown East, Four Twenty Five,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48360-FourTwentyFive-menu.pdf,menu_urls/four-twenty-five.pdf
Italian, Jackson Heights, Romeo's Italian Restaurant,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/46488-Romeo%27sItalianRestaurant-menu.pdf,menu_urls/romeos-italian-restaurant.pdf
American (New), Upper West Side, Abigail's,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/49038-Abigail%27s-menu.pdf,menu_urls/abigails.pdf
Mediterranean, Upper West Side, The Shell Seafood Kitchen,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/49132-ShellSeafoodKitchen-menu.pdf,menu_urls/the-shell-seafood-kitchen.pdf
Japanese / Sushi, Lower East Side, Sake No Hana,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/47937-SakeNoHana-menu.pdf,menu_urls/sake-no-hana.pdf
Japanese / Sushi, Upper West Side, Momoya - Upper West Side,,
Delicatessen, Upper East Side, PJ Bernstein,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48484-PJBernstein-menu.pdf,menu_urls/pj-bernstein.pdf
Japanese / Sushi, Bayside, Masaaki,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48977-Masaaki-menu.pdf,menu_urls/masaaki.pdf
French, Morningside Heights, Le Monde,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/23933-LeMonde-menu.pdf,menu_urls/le-monde.pdf
Greek, Upper East Side, Korali Estiatorio,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48244-KoraliEstiatorio-menu.pdf,menu_urls/korali-estiatorio.pdf
Mexican, Soho, Bar Tulix,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/46390-BarTulix-menu.pdf,menu_urls/bar-tulix.pdf
Steakhouse, Times Square/Theatre District, The Palm - Midtown,,
Mexican, Meatpacking District, La Plaz,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/49120-LaPlaz-menu.pdf,menu_urls/la-plaz.pdf
French, Upper East Side, Jacques Brasserie,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/19032-JacquesBrasserie-menu.pdf,menu_urls/jacques-brasserie.pdf
Korean, Midtown West, Naro,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48763-Naro-menu.pdf,menu_urls/naro.pdf
